name,flag_reasons,combined_abs_z,flag_per_field,flag_combined,customer_avg_amout_1_day,customer_avg_amount_7_day,customer_avg_amount_30_day,merchant_num_trans_1_day,merchant_num_trans_7_day,merchant_num_trans_30_day,merchant_risk_1_day,merchant_risk_7_day,merchant_risk_30_day,merchant_risk_90_day,customer_avg_amout_1_day_z,customer_avg_amount_7_day_z,customer_avg_amount_30_day_z,merchant_num_trans_1_day_z,merchant_num_trans_7_day_z,merchant_num_trans_30_day_z,merchant_risk_1_day_z,merchant_risk_7_day_z,merchant_risk_30_day_z,merchant_risk_90_day_z
Justin Gates,customer_avg_amout_1_day;merchant_num_trans_7_day;merchant_risk_1_day;merchant_risk_7_day;combined_score,39.98144187559053,True,True,29.42428571428572,51.16285714285715,31.685714285714287,2589.7157142857145,79041.97142857141,469447.5371428571,1.8571428571428568,4.714285714285714,14.571428571428571,26.142857142857142,-4.919571942443851,1.8200295326617115,-1.6031951979187042,0.2213689927301257,8.337040781668945,-2.2389772081356614,-5.86028042966587,-9.889976424066807,-2.7210595525632706,-2.369941813735577
Brooke Villanueva,customer_avg_amount_7_day;customer_avg_amount_30_day;merchant_num_trans_7_day;merchant_num_trans_30_day;merchant_risk_1_day;merchant_risk_30_day;combined_score,39.48753538451418,True,True,53.37428571428571,64.56714285714285,45.49857142857143,2950.8814285714284,66050.4842857143,765116.2542857144,5.428571428571429,8.857142857142858,19.428571428571427,31.0,2.4331608510142786,6.160306156095916,4.158855299890808,2.277674197468893,4.540532428209495,5.503788949566151,6.880992531177035,-0.8586595106625182,5.73272714742096,0.9408383130081288
Jerry Miller,customer_avg_amount_7_day;merchant_risk_1_day;merchant_risk_7_day;merchant_risk_30_day;merchant_risk_90_day;combined_score,39.12564754346971,True,True,53.78,29.608571428571423,42.50714285714286,2403.282857142857,46223.20142857143,595276.6642857144,5.428571428571429,13.285714285714286,18.857142857142858,36.85714285714285,2.5577165392541885,-5.159198187084143,2.9109771591923783,-0.8400907176284902,-1.2536036984565748,1.0561482170683227,6.880992531177035,8.795506845045518,4.738164006246348,4.933249642316713
Mitchell Harrison,customer_avg_amount_30_day;merchant_num_trans_1_day;merchant_num_trans_7_day;merchant_num_trans_30_day;merchant_risk_7_day;merchant_risk_30_day;merchant_risk_90_day;combined_score,39.10886807208473,True,True,38.38428571428572,39.691428571428574,43.041428571428575,1407.0114285714285,61109.35999999999,681084.827142857,3.0,6.571428571428571,13.142857142857142,20.571428571428573,-2.168820968356801,-1.8943924311213745,3.133855107913111,-6.512384744639324,3.096585371193037,3.303232541189894,-1.7830730821961411,-5.841455049092473,-5.20746740549981,-6.167601370882767
Margaret Sanchez,customer_avg_amout_1_day;merchant_num_trans_1_day;merchant_num_trans_7_day;merchant_risk_1_day;merchant_risk_7_day;merchant_risk_30_day;combined_score,38.15637779173554,True,True,28.191000000000003,41.56600000000001,32.79600000000001,1586.393,70185.877,443067.324,5.4,11.4,18.1,27.6,-5.298194920111159,-1.287410550563942,-1.140038134427384,-5.491071689793293,5.749020171912731,-2.9298038316934885,6.779062347490292,4.684700525840805,3.4203678441899834,-1.3767077757124642
Brian Black,customer_avg_amout_1_day;customer_avg_amount_7_day;customer_avg_amount_30_day;merchant_num_trans_30_day;merchant_risk_1_day;merchant_risk_7_day;merchant_risk_30_day;merchant_risk_90_day;combined_score,38.09736384260072,True,True,28.377142857142854,54.84571428571429,25.884285714285717,2524.2742857142853,53709.09285714286,676918.1828571429,5.285714285714286,11.714285714285714,19.714285714285715,34.857142857142854,-5.241048419485597,3.0125301332386454,-4.023268325605583,-0.1512232685345064,0.9340018488642886,3.194119366558635,6.371341612743318,5.3698349123749205,6.230008718008272,3.569987237186951
Jordan Martin,customer_avg_amount_30_day;merchant_num_trans_7_day;merchant_risk_1_day;merchant_risk_7_day;merchant_risk_30_day;combined_score,37.86932340096765,True,True,39.192857142857136,48.32285714285714,22.124285714285715,2258.738571428571,28860.09,523977.69571428566,1.5714285714285714,6.571428571428571,12.714285714285714,26.714285714285715,-1.920586744611066,0.9004441199592458,-5.591756991469129,-1.6630568942971902,-6.327633858033945,-0.810979446177738,-6.879582266533303,-5.841455049092473,-5.953389761380772,-1.9804382694127871
David Haynes,customer_avg_amout_1_day;merchant_num_trans_1_day;merchant_num_trans_7_day;merchant_num_trans_30_day;merchant_risk_1_day;combined_score,37.60421163520784,True,True,56.42399999999999,52.031000000000006,38.084,1788.5939999999998,76131.16500000001,229474.41300000003,4.5,10.2,14.5,32.9,3.3694336793754114,2.1011321761724187,1.065857627563688,-4.339835699617164,7.486414459997161,-8.52322601986754,3.568261561357879,2.0687328681650765,-2.845379945210097,2.2359375978814007
Gerald Blevins,customer_avg_amount_7_day;customer_avg_amount_30_day;merchant_num_trans_1_day;merchant_num_trans_7_day;merchant_risk_30_day;combined_score,37.27852536710721,True,True,39.56571428571429,58.54285714285714,21.55,3772.0742857142864,69282.25428571428,638039.0485714285,3.142857142857143,8.571428571428571,11.857142857142858,28.714285714285715,-1.806118312813115,4.209656414965994,-5.831320989826708,6.953154397954668,5.484954084217175,2.175979713175133,-1.2734221637624252,-1.4815089529662642,-7.445234473142693,-0.6171758642830261
Nicole Oconnor,customer_avg_amount_7_day;merchant_num_trans_7_day;merchant_num_trans_30_day;merchant_risk_1_day;merchant_risk_7_day;merchant_risk_30_day;merchant_risk_90_day;combined_score,36.976906724190755,True,True,46.25875,34.13875,35.21875,2420.92,32903.08,685147.1875,2.25,5.75,12.5,22.0,0.2486667888242537,-3.692336873273227,-0.1293849654856558,-0.7396732438226201,-5.146149002669082,3.40961480102998,-4.458740403973152,-7.632147195715738,-6.326350939321252,-5.193842510075796
