name,customer_avg_amout_1_day,customer_avg_amount_7_day,customer_avg_amount_30_day,merchant_num_trans_1_day,merchant_num_trans_7_day,merchant_num_trans_30_day,merchant_risk_1_day,merchant_risk_7_day,merchant_risk_30_day,merchant_risk_90_day,combined_anomaly_score,per_field_anomaly,combined_anomaly,is_anomaly,customer_avg_amout_1_day_z,customer_avg_amount_7_day_z,customer_avg_amount_30_day_z,merchant_num_trans_1_day_z,merchant_num_trans_7_day_z,merchant_num_trans_30_day_z,merchant_risk_1_day_z,merchant_risk_7_day_z,merchant_risk_30_day_z,merchant_risk_90_day_z
Aaron Bean,45.36065753424657,45.80314520547945,35.95759452054796,2546.9540767123294,50404.56428493152,550961.9490575343,3.558904109589041,9.135890410958904,16.133698630136987,29.581917808219178,0.9381231185686955,False,False,False,-0.02705070280426023,0.08456723903502754,0.17882494310872107,-0.022095362902877166,-0.031682078671562745,-0.10433463912495615,0.21084886718289061,-0.2509973561300172,-0.001951172897107893,-0.025770756711274805
Aaron Beard,45.0326916058394,45.883604014598546,35.023038321167874,2631.1436131386863,50461.96119525547,543616.426459854,3.4981751824817517,9.188868613138686,15.933394160583942,29.173357664233578,2.014373624443051,False,False,False,-0.12773737658030695,0.11061961480591852,-0.21102633517323988,0.4572396766383042,-0.014908952769079005,-0.2966940619599166,-0.005805007147178661,-0.1355063032432549,-0.35057819714959226,-0.30425809897626
Aaron Briggs,43.11931818181817,45.136927272727284,35.785736363636374,2573.380409090908,51447.3210090909,562866.7996818181,3.619090909090909,9.294545454545455,15.942727272727273,29.75,2.505832761520387,False,False,False,-0.7151496321515877,-0.1311525823169739,0.10713409969063159,0.12836356124970572,0.2730432056907982,0.20742128628010834,0.42556867068888177,0.09486636282794067,-0.33433405082173157,0.08879930980202805
Aaron Cameron,45.247552130553046,44.1068540344515,35.60251133272893,2511.6810970081597,50370.60664551224,560608.275004533,3.4206708975521307,9.194922937443337,16.349954669084315,29.384406165004535,1.9094230771529563,False,False,False,-0.0617744527355627,-0.46468790764570544,0.03070155067977418,-0.22292287471633232,-0.041605535493819776,0.14827661718355217,-0.28230591712568714,-0.12230803943488155,0.3744393265414034,-0.16040085559623746
Aaron Campbell,44.65231064763995,45.38518660812294,34.601459934138305,2644.507091108672,51113.147689352365,555864.2152799122,3.520856201975851,9.23271130625686,16.05159165751921,30.058726673984633,1.9740611614047792,False,False,False,-0.24451564569764073,-0.050766785346179566,-0.3868882824681642,0.5333249422550578,0.17538758043867625,0.02404248974232483,0.075110809766086,-0.03993041389113357,-0.14485716794548661,0.2992370438540296
Aaron Clark,47.29342105263158,45.521789473684215,34.95955263157894,2458.9445263157895,47242.75047368421,559985.7867631577,3.6184210526315788,9.33421052631579,16.05,30.626315789473683,3.8594394057053676,False,False,False,0.5663143787668871,-0.006535094323819853,-0.2375094693660003,-0.5231797388244439,-0.9556604049776265,0.13197532925744637,0.4231789199708664,0.18133515023675933,-0.14762742477395124,0.6861234952075671
Aaron Cox,46.19812556869883,45.91963603275706,35.932393084622376,2525.553885350318,51347.859199272054,558424.3270245678,3.5868971792538673,9.363967242948135,16.186533212010918,29.308462238398544,1.8587468640430609,False,False,False,0.23005487884041775,0.12228669871042584,0.16831213283936994,-0.14393783891735695,0.24397743456889479,0.09108491062473519,0.31071572283409465,0.24620399049412334,0.09000665059746465,-0.21216660561617792
Aaron Duran,45.43900271985495,45.07843155031732,36.316527651858564,2587.79158658205,50436.568875793295,555366.6022574797,3.456935630099728,9.28921124206709,16.163191296464188,29.371713508612874,1.1800011149150011,False,False,False,-0.00299845998871621,-0.15009336155419103,0.3285543442426571,0.2104139279077289,-0.022329362141139276,0.011011346958758593,-0.15292943737823475,0.08323792339246291,0.04938038511488452,-0.1690525662362278
Aaron Estrada,47.09860215053764,44.378951612903236,34.90360215053763,2566.1503225806455,51180.389139784944,552274.5455107526,3.575268817204301,9.28763440860215,15.696236559139784,30.056451612903224,2.906199894252329,False,False,False,0.5065043023488645,-0.37658334286546624,-0.2608492819625173,0.08719889934051084,0.19503758089350273,-0.06996127864601426,0.26923088504500603,0.0798004689376103,-0.7633475629796367,0.2976862912332
Aaron Ford,46.80607629427792,44.649082652134425,35.24185286103541,2549.3992733878295,49402.23815622161,555804.8146866485,3.567665758401453,9.252497729336966,16.16802906448683,29.732970027247955,1.5611154082867127,False,False,False,0.4166978532359114,-0.28911553892350944,-0.11974757833590485,-0.008173580043768362,-0.32459231124875165,0.022486948433410484,0.24210654373256693,0.003203455141071096,0.05780045019641393,0.0771911489954044
